article_factor,article_id,article,authors,published_journal,NOTES__RHS_VARIABLES__ETC_
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 7 Col. 1"
37,Neumark et al. (2014b),"More on Recent Evidence on the Effects of Minimum Wages in the United States ","Neumark, Salas & Wascher","NBER working paper","Table 4 (1,1)"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Teenage Boys, All Individuals"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Teenage Girls, Real Minwage"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 1 (Canonical: 1999-2006)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (3,1))"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (1,1))"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (7,2): MW, 1990:1-2011:4, State Trends"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (4,5))"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 7, Census/ACS, no area-specific time controls"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 1 (Canonical: 1987-2006)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (3,3)"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 3, Row 4 (CPS, State Trends)"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 2 (2,6): MW, 1990:1-2011:4, State Trends"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (4,3)"
40,Liu et al. (2015),"Impact of the Minimum Wage on Youth Labor Markets","Liu, Hyclak, & Regmi","Labour","Table A1, Panel B, col 1"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Baseline, excluding prime-age skilled employment rate, MW Index"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 3 (State specific time trends: 1999-2006)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 1 (Canonical)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (2,1))"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","PT only, Baseline specification, MW Index"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 7, CPS, no area-specific time controls"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (3,2)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (1,1)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (2,1)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (5,6): IDing factor models as QEs"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 2 South Atlantic"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (4,2)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Joint minimum wage effect, Spec 3 (State specific time trends)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel B, (1,4))"
37,Neumark et al. (2014b),"More on Recent Evidence on the Effects of Minimum Wages in the United States ","Neumark, Salas & Wascher","NBER working paper","Table 4 (4,1)"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 7 Col. 6"
7,Dodson (2002),"The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory","Dodson","Journal of Labor Research","Rural Counties (21)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 2 (Division-specific time controls: 1999-2006)"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 7 Col. 5"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Including prime-age skilled employment rate, MW Index"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 2, gFTENSH from Position Data limited to Hrs Sample with pay period dummies: Eq 46"
40,Liu et al. (2015),"Impact of the Minimum Wage on Youth Labor Markets","Liu, Hyclak, & Regmi","Labour","Table 5, Panel A, col 1"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (5,4): IDing factor models as QEs"
22,Dube et al. (2010),"MW Effects Across State Borders - Estimates Using Contiguous Counties WP","Dube,A.; Lester.T.; Reich,M.","The Review of Economics and Statistics","Border County Pairs"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (2,4)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 6, Spec 1 (Canonical)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (4,2))"
17,Keil et al. (2009),"Univariate Regressions of Employment on Minimum Wages in the Panel of U.S. States","Keil, M.; Robertson, D. and Symons, J.","Robert Day School of Economics and Finance Research Paper","Table 2, Model 5"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (7,3): MW, 1994:1-2007:3, No State Trends"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 1 (Panel B, (2,1))"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Teenage Girls, Employed Individuals"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (4,4): IDing factor models as QEs"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (7,4): MW, 1994:1-2007:3, State Trends"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (7,10): Cash Wage, DD (FS-LS) Restaurants, 1990:1-2011:4, No State Trends"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (5,5): IDing factor models as QEs"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 7 Col. 3"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (6,2): Cash Wage, 1990:1-2011:4, State Trends"
34,Hoffman (2014),"Employment Effects of the 2009 Minimum Wage Increase: New Evidence from State-Based Comparisons of Workers by Skill Level","Hoffman","The B.E. Journal of Economic Analysis & Policy","Table 6, 16-19, Not in College, Demog Traits (DID)-B"
6,Bazen and Marimoutou (2002),"Looking for a Needle in a Haystack?","Bazen and Marimoutou","Oxford Bulletin of Economics and Statistics","54:1-93:4"
11,Dube et al. (2007),"The economic effects of a citywide MW","Dube,  Naidu & Reich","Industrial and Labor Relations Review","Alternative Control-Midsize S.F. (Table 5, Employment)"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 8 Col. 1 Row 2"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 3: Rural covered, 4 Qtrs"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 1 (Canonical: 1990-2009)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 1 (Canonical)"
38,Meer and West (2015),"Effects of the Minimum Wage on Employment Dynamics","Meer and West","Journal of Human Resources","Table A6, Panel B (Sum, Column 7)"
5,Zavodny (2000),"The effect of the minimum wage on employment and hours","Zavodny","Labour Economics","Table 1"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 1 (Canonical)"
37,Neumark et al. (2014b),"More on Recent Evidence on the Effects of Minimum Wages in the United States ","Neumark, Salas & Wascher","NBER working paper","Table 5 (1,4)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 6, Spec 1 (Canonical)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (1,6)"
7,Dodson (2002),"The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory","Dodson","Journal of Labor Research","Suburban Counties (18)"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
22,Dube et al. (2010),"MW Effects Across State Borders - Estimates Using Contiguous Counties WP","Dube,A.; Lester.T.; Reich,M.","The Review of Economics and Statistics","Border County Pairs, Total Pvt Sector"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Immigrants, Both sexes, All Individuals"
17,Keil et al. (2009),"Univariate Regressions of Employment on Minimum Wages in the Panel of U.S. States","Keil, M.; Robertson, D. and Symons, J.","Robert Day School of Economics and Finance Research Paper","Table 2, Model 7"
38,Meer and West (2015),"Effects of the Minimum Wage on Employment Dynamics","Meer and West","Journal of Human Resources","Table A6, Panel B (Sum, Column 3)"
6,Bazen and Marimoutou (2002),"Looking for a Needle in a Haystack?","Bazen and Marimoutou","Oxford Bulletin of Economics and Statistics","54:1-99:2"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 3: Urban covered, 4 Qtrs"
17,Keil et al. (2009),"Univariate Regressions of Employment on Minimum Wages in the Panel of U.S. States","Keil, M.; Robertson, D. and Symons, J.","Robert Day School of Economics and Finance Research Paper","Table 2, Model 6"
38,Meer and West (2015),"Effects of the Minimum Wage on Employment Dynamics","Meer and West","Journal of Human Resources","Table A5 (Sum, column 3)"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Teenage Girls, Relative Minwage"
5,Zavodny (2000),"The effect of the minimum wage on employment and hours","Zavodny","Labour Economics","Table 1"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel B, (1,1))"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 3 (5,1)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (4,6): IDing factor models as QEs"
9,Neumark et al. (2004),"Minimum Wage Effects Throughout the Wage Distribution","Neumark, Schweitzer & Wascher","The Journal of Human Resources","Weighted average, wts from Table 2, assuming COV=0 across all elements of weighted average"
7,Dodson (2002),"The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory","Dodson","Journal of Labor Research","With demographic, transfer payment variables"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 4, CPS, Division-specific time effects"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (1,1)"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 8 Col. 2 Row 2"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (5,1): IDing factor models as QEs"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (7,7): MW, 1994:1-2007:3, No State Trends"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (1,4)"
38,Meer and West (2015),"Effects of the Minimum Wage on Employment Dynamics","Meer and West","Journal of Human Resources","Table A4 (Sum, column 3)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 1 (Canonical: 1990-2005)"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 2 (1,1): Cash Wage, 1990:1-2011:4, No State Trends"
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.","Bureau of Business and Economic Research","Retail"
6,Bazen and Marimoutou (2002),"Looking for a Needle in a Haystack?","Bazen and Marimoutou","Oxford Bulletin of Economics and Statistics","54:1-79:4"
38,Meer and West (2015),"Effects of the Minimum Wage on Employment Dynamics","Meer and West","Journal of Human Resources","Table A6, Panel B (Sum, Column 4)"
41,Powell (2015),"Synthetic Control Estimation Beyond Case Studies - Does the Minimum Wage Reduce Employment","Powell","RAND working paper","Table 3, Column 2"
7,Dodson (2002),"The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory","Dodson","Journal of Labor Research","Col 1"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 3: Rural uncovered, 4 Qtrs"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Less-Educated Immigrants, Women, Real Minwage"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 4 (Both sets of time controls: 1990-2005)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Non-indexed sample, Spec 1 (Canonical)"
41,Powell (2015),"Synthetic Control Estimation Beyond Case Studies - Does the Minimum Wage Reduce Employment","Powell","RAND working paper","Table 3, Column 6"
6,Bazen and Marimoutou (2002),"Looking for a Needle in a Haystack?","Bazen and Marimoutou","Oxford Bulletin of Economics and Statistics","54:1-89:4"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (1,4)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 3 (State specific time trends: 1990-2005)"
26,Addison et al. (2012),"The Effect of MWs on Labor Market Outcomes -  County-Level Estimates from the Restaurant & Bar Sector","Addison, Blackburn & Cotti","British Journal of Industrial Relations","WLS - canonical model (Table 2, Panel b)"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 4 (7,8): MW, 1994:1-2007:3, State Trends"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 4, CPS, no area-specific time controls"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 2 (Division-specific time controls: 1990-2006)"
38,Meer and West (2015),"Effects of the Minimum Wage on Employment Dynamics","Meer and West","Journal of Human Resources","Table A6, Panel B (Sum, Column 2)"
33,Even and Macpherson (2014),"The Effect of Tip Credits on Earnings and Employment in the U.S. Restaurant Industry","Even & Macpherson","IZA discussion paper","Table 2 (2,7): MW, 1994:1-2007:3, No State Trends"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel A (DD), Col 3 Row 2 (Medium Term)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Joint minimum wage effect, Spec 2 (Division-specific time controls)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 2 (Division-specific time controls)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (4,6))"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 4, CPS, Division-specific time effects"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 4, Census/ACS, no area-specific time controls"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 1 (Panel B, (1,5))"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 1 (Canonical)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 6, Spec 1 (Canonical)"
26,Addison et al. (2012),"The Effect of MWs on Labor Market Outcomes -  County-Level Estimates from the Restaurant & Bar Sector","Addison, Blackburn & Cotti","British Journal of Industrial Relations","Restricted sample (Table 6, non-interacted)"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 2, Row 2, Border County"
29,Addison et al. (2013),"Minimum Wage Increases in a Recessionary Environment","Addison, Blackburn & Cotti","Labour Economics","Table 3, Row 1 (CPS, Basic)"
34,Hoffman (2014),"Employment Effects of the 2009 Minimum Wage Increase: New Evidence from State-Based Comparisons of Workers by Skill Level","Hoffman","The B.E. Journal of Economic Analysis & Policy","Table 7, 16-19, Not in College,  (DIDID)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (3,4): IDing factor models as QEs"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Non-indexed sample, Spec 1 (Canonical)"
36,Totty (2014),"Effect of Minimum Wages on Employment - a Factor model approach JULY","Totty","Institute for Research on Labor and Employment, Working Paper Series","Table 4 (4,5): IDing factor models as QEs"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel A (DD), Col 6 Row 2 (Medium Term)"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 3: Urban covered, 1 Qtr"
16,Allegretto et al. (2009),"Spatial Heterogeneity and MWs: Employment Estimates for Teens Using Cross-State Commuting Zones","Allegretto, S.; Dube, A; Reich, M.","Institute for Research on Labor and Employment, Working Paper Series","Table 4, CPS, Both Division-specific time effects and state-specific linear time trends"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 2 (Panel A, (1,5))"
7,Dodson (2002),"The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory","Dodson","Journal of Labor Research","Metro Counties (12)"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (2,5))"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 8, Spec 2 (Division-specific time controls: 1987-2006)"
27,Dube et al. (2014),"MW Shocks, Employment Flows & Labor Market Frictions","Dube,A.; Lester.T.; Reich,M.","Journal of Labor Economics","Table 4: County Trends"
26,Addison et al. (2012),"The Effect of MWs on Labor Market Outcomes -  County-Level Estimates from the Restaurant & Bar Sector","Addison, Blackburn & Cotti","British Journal of Industrial Relations","Ltd Service Restaurants (Table 7)"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 2, Col 4 Row 2 (medium term)"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 3: Rural covered, 1 Qtr"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Non-indexed sample, Spec 2 (Division-specific time controls)"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 8 Col. 2 Row 1"
32,Clemens and Wither (2014),"The Minimum Wage and the Great Recession: Evidence of Effects on the Employment and Income Trajectories Of Low-skilled Workers","Clemens & Wither","NBER working paper","Table 3, Panel A (DD), Col 4 Row 2 (Medium Term)"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 4 (Both sets of time controls)"
